post_id,platform,author,text,sentiment,created_at
132,TikTok,user600,"La promo de @fotografia está genial, ahorré bastante y gracias a @foodLover https://t.co/demo",positive,2024-05-22 23:57:00
133,Instagram,user118,"Buenísimo el video de @equipoY, 10/10 y gracias a @gamerMax #promo",positive,2024-03-30 10:40:00
134,TikTok,user438,"Pésima experiencia con @ofertasHoy, no lo recomiendo #promo https://t.co/demo",negative,2024-04-17 02:54:00
135,YouTube,user96,"Recomiendo a @saludPlus, contenido de calidad y muy útil",positive,2024-08-13 19:10:00
136,TikTok,user576,El envío de @cineFan fue lentísimo y llegó mal,negative,2024-02-29 01:45:00
137,TikTok,user295,"La promo de @devTips está genial, ahorré bastante y gracias a @hogarIdeas #promo",positive,2024-04-09 11:57:00
138,TikTok,user570,"La promo de @canalZ está genial, ahorré bastante y gracias a @musicBeat",positive,2024-06-10 21:13:00
139,Twitter,user571,"No funciona lo que vende @modaTrends, una estafa y gracias a @creatorMia #promo",negative,2024-04-01 11:35:00
140,Twitter,user360,"La promo de @creatorLuis está genial, ahorré bastante #promo",positive,2024-05-23 01:02:00
141,Instagram,user94,"Recomiendo a @musicBeat, contenido de calidad y muy útil y gracias a @noticiasTech",positive,2024-04-27 19:22:00
142,Twitter,user87,Increíble servicio de @fotografia! Me encantó la experiencia #promo,positive,2024-04-03 16:34:00
143,YouTube,user453,Increíble servicio de @foodLover! Me encantó la experiencia y gracias a @creatorAna #promo,positive,2024-02-25 16:36:00
144,TikTok,user540,"La promo de @viajesPro está genial, ahorré bastante y gracias a @soporteX #promo https://t.co/demo",positive,2024-05-03 04:41:00
145,TikTok,user262,"Buenísimo el video de @brandX, 10/10 #promo https://t.co/demo",positive,2024-03-29 07:51:00
146,TikTok,user513,Increíble servicio de @saludPlus! Me encantó la experiencia #promo https://t.co/demo,positive,2024-04-21 10:41:00
147,YouTube,user590,"No funciona lo que vende @hogarIdeas, una estafa #promo https://t.co/demo",negative,2024-05-15 11:05:00
148,YouTube,user176,Nuevo post de @ofertasHoy sobre tendencias #promo,neutral,2024-05-31 13:40:00
149,Twitter,user537,"Qué gran atención de @noticiasTech, todo rápido y claro y gracias a @ofertasHoy https://t.co/demo",positive,2024-04-09 21:36:00
150,Instagram,user117,Actualización de @ofertasHoy disponible,neutral,2024-04-03 08:03:00
151,Instagram,user106,"La promo de @creatorMia está genial, ahorré bastante y gracias a @modaTrends #promo",positive,2024-03-16 21:26:00
152,YouTube,user506,Probando el filtro de @devTips,neutral,2024-06-02 21:19:00
153,TikTok,user331,"Buenísimo el video de @brandZ, 10/10 #promo https://t.co/demo",positive,2024-08-02 01:55:00
154,Twitter,user361,Increíble servicio de @musicBeat! Me encantó la experiencia y gracias a @noticiasTech #promo,positive,2024-06-07 03:04:00
155,YouTube,user520,"No funciona lo que vende @fitLife, una estafa #promo",negative,2024-06-18 22:14:00
156,TikTok,user193,"Pésima experiencia con @foodLover, no lo recomiendo #promo",negative,2024-04-01 11:43:00
157,Instagram,user87,"Buenísimo el video de @hogarIdeas, 10/10",positive,2024-05-13 12:25:00
158,TikTok,user382,"Qué gran atención de @reviewGuru, todo rápido y claro",positive,2024-05-27 02:14:00
159,Twitter,user338,El envío de @viajesPro fue lentísimo y llegó mal y gracias a @hogarIdeas,negative,2024-02-02 05:07:00
160,Twitter,user342,El envío de @creatorLuis fue lentísimo y llegó mal y gracias a @modaTrends https://t.co/demo,negative,2024-03-22 20:18:00
161,TikTok,user87,El envío de @cienciaHoy fue lentísimo y llegó mal,negative,2024-07-07 23:23:00
162,Twitter,user540,"Muy decepcionado con @cineFan, cero seriedad #promo https://t.co/demo",negative,2024-03-11 07:18:00
163,YouTube,user350,"Gracias @creatorLuis por el apoyo, quedé feliz con todo y gracias a @creatorAna",positive,2024-06-27 17:58:00
164,TikTok,user39,Viendo el directo de @fotografia ahora #promo https://t.co/demo,neutral,2024-03-11 23:38:00
165,YouTube,user170,"Qué gran atención de @ofertasHoy, todo rápido y claro",positive,2024-03-24 15:19:00
166,Instagram,user240,"Gracias @gamerMax por el apoyo, quedé feliz con todo",positive,2024-05-14 15:45:00
167,YouTube,user289,"Pésima experiencia con @cineFan, no lo recomiendo https://t.co/demo",negative,2024-04-28 08:32:00
168,YouTube,user54,Nuevo post de @fitLife sobre tendencias https://t.co/demo,neutral,2024-04-12 02:51:00
169,TikTok,user165,"Gracias @foodLover por el apoyo, quedé feliz con todo #promo",positive,2024-07-04 15:23:00
170,Twitter,user358,"La promo de @viajesPro está genial, ahorré bastante #promo https://t.co/demo",positive,2024-03-16 07:39:00
171,TikTok,user29,Leyendo comentarios de @hogarIdeas y gracias a @creatorLuis #promo https://t.co/demo,neutral,2024-04-20 16:07:00
172,YouTube,user143,Increíble servicio de @brandX! Me encantó la experiencia y gracias a @equipoY,positive,2024-05-19 20:46:00
173,YouTube,user541,"Gracias @noticiasTech por el apoyo, quedé feliz con todo y gracias a @brandY #promo",positive,2024-05-06 21:15:00
174,Twitter,user469,"La promo de @gamerMax está genial, ahorré bastante",positive,2024-04-04 04:54:00
175,YouTube,user299,"Gracias @ofertasHoy por el apoyo, quedé feliz con todo #promo",positive,2024-04-05 17:52:00
176,Twitter,user370,Comparando precios con @fitLife https://t.co/demo,neutral,2024-05-30 16:02:00
177,YouTube,user45,Leyendo comentarios de @canalZ y gracias a @brandZ #promo,neutral,2024-06-01 21:26:00
178,TikTok,user107,"La promo de @ofertasHoy está genial, ahorré bastante y gracias a @modaTrends #promo",positive,2024-05-07 15:51:00
179,Instagram,user491,Leyendo comentarios de @brandZ #promo https://t.co/demo,neutral,2024-03-28 01:29:00
180,Twitter,user205,"La promo de @noticiasTech está genial, ahorré bastante",positive,2024-04-06 01:14:00
181,TikTok,user196,"Qué gran atención de @brandY, todo rápido y claro y gracias a @creatorLuis",positive,2024-04-25 13:39:00
182,YouTube,user451,"Buenísimo el video de @creatorMia, 10/10 #promo",positive,2024-04-30 09:06:00
183,YouTube,user85,"Gracias @fotografia por el apoyo, quedé feliz con todo #promo https://t.co/demo",positive,2024-05-17 22:33:00
184,TikTok,user303,"Buenísimo el video de @hogarIdeas, 10/10 y gracias a @musicBeat #promo https://t.co/demo",positive,2024-04-18 12:02:00
185,TikTok,user446,"Malo el soporte de @brandY, aún espero respuesta #promo",negative,2024-05-29 23:11:00
186,Twitter,user164,"Qué gran atención de @fotografia, todo rápido y claro #promo https://t.co/demo",positive,2024-05-29 22:01:00
187,TikTok,user376,Increíble servicio de @devTips! Me encantó la experiencia,positive,2024-06-20 12:41:00
188,Twitter,user455,El envío de @foodLover fue lentísimo y llegó mal https://t.co/demo,negative,2024-04-26 03:52:00
189,Instagram,user27,"Muy decepcionado con @viajesPro, cero seriedad y gracias a @canalZ https://t.co/demo",negative,2024-05-08 20:53:00
190,YouTube,user293,Increíble servicio de @creatorLuis! Me encantó la experiencia,positive,2024-04-21 02:59:00
191,TikTok,user328,"Muy decepcionado con @fitLife, cero seriedad y gracias a @noticiasTech",negative,2024-03-29 23:54:00
192,TikTok,user179,"Pésima experiencia con @creatorAna, no lo recomiendo #promo",negative,2024-07-31 12:19:00
193,TikTok,user568,"Pésima experiencia con @fitLife, no lo recomiendo #promo https://t.co/demo",negative,2024-06-13 16:20:00
194,YouTube,user539,Nuevo post de @devTips sobre tendencias y gracias a @reviewGuru,neutral,2024-05-28 23:12:00
195,TikTok,user530,"Qué gran atención de @fitLife, todo rápido y claro https://t.co/demo",positive,2024-04-25 17:09:00
196,Twitter,user57,"Pésima experiencia con @noticiasTech, no lo recomiendo y gracias a @saludPlus #promo",negative,2024-03-26 17:42:00
197,Twitter,user291,"La promo de @cienciaHoy está genial, ahorré bastante y gracias a @modaTrends #promo",positive,2024-06-05 17:09:00
198,Instagram,user173,"Qué gran atención de @fotografia, todo rápido y claro #promo",positive,2024-04-20 01:24:00
199,Twitter,user30,"La promo de @cienciaHoy está genial, ahorré bastante y gracias a @soporteX",positive,2024-05-12 21:48:00
200,YouTube,user32,Actualización de @fitLife disponible #promo https://t.co/demo,neutral,2024-04-06 23:22:00
201,TikTok,user416,"Malo el soporte de @hogarIdeas, aún espero respuesta y gracias a @cineFan #promo https://t.co/demo",negative,2024-05-05 20:42:00
202,TikTok,user148,Leyendo comentarios de @reviewGuru #promo https://t.co/demo,neutral,2024-04-08 12:38:00
203,Twitter,user528,Increíble servicio de @musicBeat! Me encantó la experiencia y gracias a @equipoY #promo https://t.co/demo,positive,2024-04-09 13:06:00
204,Instagram,user429,Actualización de @creatorMia disponible https://t.co/demo,neutral,2024-05-04 05:26:00
205,YouTube,user511,"Ojo con @noticiasTech, publicidad engañosa y gracias a @cineFan",negative,2024-03-10 07:20:00
206,TikTok,user598,"Buenísimo el video de @noticiasTech, 10/10",positive,2024-03-12 09:45:00
207,Twitter,user550,Viendo el directo de @cineFan ahora,neutral,2024-04-01 12:29:00
208,YouTube,user47,"Gracias @fitLife por el apoyo, quedé feliz con todo #promo https://t.co/demo",positive,2024-04-18 15:22:00
209,TikTok,user564,Leyendo comentarios de @fotografia #promo https://t.co/demo,neutral,2024-05-31 12:44:00
210,TikTok,user348,Comparando precios con @soporteX https://t.co/demo,neutral,2024-04-20 04:40:00
211,YouTube,user342,"Muy decepcionado con @creatorLuis, cero seriedad #promo",negative,2024-04-25 10:52:00
212,YouTube,user167,Actualización de @saludPlus disponible,neutral,2024-04-15 16:43:00
213,TikTok,user577,El envío de @brandX fue lentísimo y llegó mal y gracias a @creatorLuis,negative,2024-05-08 23:29:00
214,YouTube,user28,"La promo de @cienciaHoy está genial, ahorré bastante",positive,2024-03-28 05:49:00
215,YouTube,user537,"Gracias @modaTrends por el apoyo, quedé feliz con todo y gracias a @saludPlus #promo https://t.co/demo",positive,2024-04-21 10:42:00
216,Instagram,user429,"Buenísimo el video de @soporteX, 10/10",positive,2024-05-11 02:07:00
217,Instagram,user142,"Ojo con @modaTrends, publicidad engañosa #promo https://t.co/demo",negative,2024-05-04 18:11:00
218,TikTok,user351,"No funciona lo que vende @saludPlus, una estafa",negative,2024-04-26 06:33:00
219,TikTok,user253,El envío de @equipoY fue lentísimo y llegó mal,negative,2024-04-26 16:41:00
220,YouTube,user325,"Recomiendo a @saludPlus, contenido de calidad y muy útil y gracias a @devTips https://t.co/demo",positive,2024-05-15 13:28:00
221,Instagram,user354,"Qué gran atención de @noticiasTech, todo rápido y claro y gracias a @gamerMax",positive,2024-08-04 07:18:00
222,TikTok,user207,Actualización de @hogarIdeas disponible y gracias a @fotografia https://t.co/demo,neutral,2024-03-30 01:43:00
223,Instagram,user544,"Malo el soporte de @brandY, aún espero respuesta https://t.co/demo",negative,2024-08-06 04:41:00
224,Instagram,user6,"Buenísimo el video de @gamerMax, 10/10 https://t.co/demo",positive,2024-03-29 09:44:00
225,Twitter,user61,"Muy decepcionado con @equipoY, cero seriedad https://t.co/demo",negative,2024-02-23 05:58:00
226,Instagram,user428,Probando el filtro de @brandY #promo,neutral,2024-04-07 09:52:00
227,Twitter,user39,Increíble servicio de @fotografia! Me encantó la experiencia #promo,positive,2024-05-09 21:53:00
228,YouTube,user557,Comparando precios con @creatorLuis #promo https://t.co/demo,neutral,2024-07-20 05:32:00
229,TikTok,user470,"No funciona lo que vende @brandX, una estafa y gracias a @reviewGuru",negative,2024-03-26 05:59:00
230,YouTube,user416,"Ojo con @brandZ, publicidad engañosa #promo https://t.co/demo",negative,2024-05-15 11:02:00
231,Twitter,user255,"Buenísimo el video de @equipoY, 10/10 https://t.co/demo",positive,2024-03-14 19:33:00
232,TikTok,user12,"Pésima experiencia con @hogarIdeas, no lo recomiendo y gracias a @creatorAna #promo https://t.co/demo",negative,2024-07-17 23:25:00
233,TikTok,user515,El envío de @cienciaHoy fue lentísimo y llegó mal #promo,negative,2024-06-14 16:19:00
234,YouTube,user157,El envío de @fotografia fue lentísimo y llegó mal,negative,2024-04-09 18:20:00
235,Instagram,user224,"Malo el soporte de @fotografia, aún espero respuesta https://t.co/demo",negative,2024-03-04 19:15:00
236,Twitter,user115,Viendo el directo de @foodLover ahora #promo https://t.co/demo,neutral,2024-06-23 17:45:00
237,Twitter,user453,"Muy decepcionado con @hogarIdeas, cero seriedad",negative,2024-04-21 01:53:00
238,Instagram,user465,"Muy decepcionado con @musicBeat, cero seriedad y gracias a @gamerMax https://t.co/demo",negative,2024-06-17 00:44:00
239,TikTok,user406,Viendo el directo de @saludPlus ahora #promo https://t.co/demo,neutral,2024-04-26 02:10:00
240,Twitter,user555,Probando el filtro de @brandZ y gracias a @musicBeat #promo https://t.co/demo,neutral,2024-04-27 21:53:00
241,TikTok,user431,Probando el filtro de @viajesPro https://t.co/demo,neutral,2024-04-10 23:18:00
242,Instagram,user553,"Malo el soporte de @ofertasHoy, aún espero respuesta y gracias a @devTips #promo https://t.co/demo",negative,2024-05-20 07:36:00
243,Twitter,user4,Leyendo comentarios de @musicBeat #promo https://t.co/demo,neutral,2024-04-30 07:50:00
